5/29/2015 9:36:52 PM		 queryException 		Username or Password does not exist.
5/29/2015 9:51:05 PM		 mySqlException 		211919 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:25 PM		 mySqlException 		159082 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:28 PM		 mySqlException 		87917 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:31 PM		 mySqlException 		211922 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:31 PM		 exception 		87917 : Object reference not set to an instance of an object.
5/29/2015 9:51:33 PM		 mySqlException 		113650 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:35 PM		 mySqlException 		188639 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:35 PM		 mySqlException 		15306 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:43 PM		 mySqlException 		233534 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:54 PM		 mySqlException 		144800 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:51:58 PM		 mySqlException 		211919 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:52:25 PM		 mySqlException 		188639 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:52:41 PM		 mySqlException 		233534 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:52:41 PM		 mySqlException 		211922 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:52:44 PM		 mySqlException 		272766 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
5/29/2015 9:52:49 PM		 mySqlException 		144800 : Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
